"","date","and.mail","anglija.lt","animal.print.wallpaper","aptana.studio","benefity.w.uk","bikram.yoga.manchester","blogger.blogs","bodywise","border.agency","bristol.evening.post","broken.laptops","cake.courses","cancer.network","cheap.mots","children.centre.jobs","club.visa","cracked.com","credit.management","cupcake.company","cupcake.shops","custom.wordpress","design.blogs","dieline","dove.spa","easy.as.hgv","electrician.jobs","enzoani","fabric.inspirations","free.wordpress.themes","geek.glasses","geeky.glasses","get.my.website.on.google","good.run","government.vacancies","guard.jobs","hairandbeautyjobs","hopital","how.to.get.a.crb.check","impact.level","income.based","independent.review","jewellery.blog","jewellery.school","job.is","job.seekers","jobrapido","jobs.in.berkshire","jobs.in.crawley.west.sussex","jobs.in.halifax.west.yorkshire","jquery.bind","jquery.plugin","keepmoat.homes","labourer.jobs.in.london","light.in.a.box","ltv.mortgages","makeuseof","mckinsey.quarterly","mobile.selling","muscle.fuel","napp","naruto.wiki","nerd.glasses","netmums","nhs.information","nursing.diploma","official.guide","pedal.studio","perfection.bridal","phd.pharma","phone.selling","priority.club.visa","ptlls","purple.wedding.flowers","quality.inn.international","reader","redundancy.insurance","rubicon.people","security.jobs.in.glasgow","sell.a.mobile","sharethis","simply.childcare","skyhome","soaked.in.luxury","sound.converter","text.check","the.best.protein.shake","tiger.insurance","twitter.feeds","twitter.icons","twitter.widget","uk.border.agency","uk.border","unemployed.in.uk","unemployed","usn.muscle.fuel.anabolic","usn.muscle.fuel","virgin.finance","welsh.football.trust","winsford.lifestyle.centre","www.totaljobs.com","xenapp","xogogo","zebra.print.wallpaper","X10.cake","active.london","after.redundancy","alfa.romeo.mito","anyone.have","ask.a.lawyer","b4busty","bam.construct","been.made.redundant","being.made.redundant","bridgend.property","can.i.be.made.redundant","capital.plus","changing.the.world","cheap.baby","chichester.jobs","citysocialising","claim.jobseekers.allowance","claiming.job.seekers","claiming.redundancy","class.fitness","community.treatment.order","consultation.period","consultation.redundancy","corporate.bond.funds","corporate.bond.index","crazy.events","cut.jobs","darling.clothing","debt.support","direct.gov.uk","directgov.com","downturn","driving.jobs.in.kent","economic.downturn","ehow","enduro.news","esxi.server","facing.redundancy","fashion.internships","fonesafe","gb.oils","give.me.a.call","goal.centre","good.agency","government.payment","guarantee.pay","guardian.home.exchange","help.for.small.business","home.option","hospitals.bristol","hotel.smithfield","housing.benefits","how.much.income.support","how.much.is.unemployment","how.to.calculate.redundancy","i.have.been.made.redundant","i.love.my.bear","job.losses.uk","job.losses","jobcentre.plus","jobcentre","jobs.at.morrisons","jobseeker.allowance","kfc.coupons","king.careers","laid.off","lay.off","laying.off","layoff","layoffs","liberty.leasing","live.messenger.sign.in","lloyds.tsb.international","lloyds.tsb.phone","losses","lotc","ltv","made.redundant","making.redundancies","making.someone.redundant","maldron.hotel.smithfield","meal.offers","mercedes.wiki","mortgage.variable.rate","nationwide.standard.variable.rate","netflights","nhs.stoke","notice.for.redundancy","nowgamer","oil.etf","orange.insurance","orange.phone.insurance","parkway.motors","patient.reported.outcome.measures","patient.reported.outcome","pay.cut","perceptive.informatics","pr.internships","pricegong","printing.money","react.funding","reasons.for.redundancy","redundancies.uk","redundancies","redundancy.consultation","redundancy.matrix","redundancy.meeting","redundancy.money","redundancy.pay.tax","redundancy.pay","redundancy.payout","redundant","restaurant.discounts","restaurant.offers","risk.of.redundancy","security.guard.jobs","security.jobs","shp.jobs","siemens.healthcare","signing.on","soccerpitch","standard.redundancy","star.now","supermarket.jobs","svr.mortgage","tattoo.machine","tax.band.f","tax.free.redundancy","the.cake.lady","trade.credit.insurance","uk.corporate.bonds","uk.job.losses","unilever.leatherhead","university.hospitals.bristol","variable.mortgage.rates","vector.stock","virgin.credit.card.application","voicemail.orange","voluntary.redundancy","weight.gainer","what.do.i.do.","www.hsbc.co.uk"
"11","2004-11-01",20,0,0,0,0,0,0,100,"0",75,0,12,99,0,0,0,0,92,0,0,0,0,0,0,0,20,0,0,0,22,0,0,0,88,18,0,88,0,30,17,62,0,58,30,14,0,57,0,0,0,0,0,0,0,0,0,0,32,0,64,0,0,2,48,49,50,0,0,0,34,0,0,0,19,81,24,0,70,0,0,48,0,0,42,22,0,25,0,0,0,0,8,33,33,0,0,65,0,0,52,0,0,0,14,76,0,0,17,0,0,0,0,0,0,0,30,100,59,21,0,54,0,76,21,0,0,38,0,0,57,0,0,0,0,0,9,0,18,4,12,0,0,29,34,32,44,0,0,29,0,0,0,43,33,0,41,0,0,0,0,0,0,16,11,16,21,30,0,100,40,0,0,0,0,0,0,0,20,45,0,34,0,0,0,0,35,0,7,0,3,24,100,0,0,18,0,0,0,0,0,0,0,0,26,0,88,24,25,38,73,0,45,40,14,0,33,58,28,0,36,18,0,67,38,0,0,24,56,15,0,0,60,94,38,0,0,0,0,15,53,0,20,15,37,15,0
"12","2004-12-01",19,0,32,0,0,0,18,52,"0",57,0,0,41,0,0,20,0,79,0,0,0,0,0,0,0,17,0,0,0,0,0,0,13,49,28,0,57,63,63,0,74,0,0,27,13,0,32,0,0,0,0,0,0,0,0,0,21,14,35,48,0,0,2,75,26,63,0,0,0,23,0,0,0,13,92,33,0,0,0,0,25,0,0,37,16,0,0,0,0,0,0,11,0,41,0,22,53,0,0,27,0,0,0,0,35,0,0,23,0,0,0,0,0,40,0,0,58,52,22,0,0,30,79,0,0,0,80,0,0,0,22,0,0,2,0,10,0,0,9,0,0,0,31,36,100,0,0,15,30,0,0,0,45,46,54,30,0,100,0,0,0,35,18,9,13,22,31,0,0,42,18,0,0,27,0,0,32,28,45,0,13,21,0,0,0,0,0,8,0,0,51,0,0,0,28,33,88,0,0,0,0,0,0,27,0,92,51,18,80,0,0,0,0,38,0,43,61,7,0,50,18,0,69,18,0,0,25,0,0,19,0,0,0,0,63,37,0,0,0,0,0,25,0,19,39,0
"13","2005-01-01",17,0,0,0,0,0,21,67,"1",72,0,35,69,0,31,30,0,96,0,0,0,31,0,0,0,34,0,0,0,18,0,0,5,81,36,0,68,48,37,28,67,0,31,35,20,0,63,0,92,0,0,0,0,0,0,0,32,15,13,66,7,0,4,71,49,63,0,0,0,18,0,0,0,64,91,57,0,56,29,0,19,0,0,76,27,0,20,0,0,0,0,10,26,43,0,34,64,0,0,83,0,0,0,17,27,25,0,28,0,0,0,0,26,31,0,48,36,95,17,0,0,0,0,8,0,47,38,24,0,46,17,0,0,0,0,0,0,0,7,0,0,78,35,0,0,0,0,24,58,0,49,19,34,70,0,28,0,0,0,0,0,40,12,12,22,0,36,0,27,32,0,32,62,41,0,0,33,5,39,0,15,24,81,0,0,37,0,12,0,2,49,0,0,0,42,25,0,0,0,0,0,48,0,0,0,0,19,16,38,0,0,0,32,38,0,61,0,17,0,38,41,35,80,20,0,0,19,22,0,15,0,97,0,0,0,57,0,0,12,0,0,19,12,15,48,0
"14","2005-02-01",19,0,0,0,0,0,14,41,"0",72,41,25,49,0,49,39,0,94,0,0,0,0,0,0,0,11,0,0,0,18,0,0,21,50,66,0,70,0,50,14,55,0,64,39,23,0,25,35,0,0,0,0,0,0,34,0,66,60,0,68,0,0,5,75,60,67,0,0,0,14,0,0,30,61,84,52,0,0,29,0,20,0,0,59,22,0,0,0,0,0,0,10,0,40,0,0,83,0,0,64,0,0,0,11,90,0,0,22,0,0,0,58,53,0,0,0,37,82,17,0,0,35,0,6,0,24,40,0,0,0,17,0,0,1,0,0,0,0,11,0,0,0,24,0,0,0,100,24,36,0,0,0,35,45,0,67,18,0,0,0,24,27,9,12,22,0,50,0,28,33,14,100,0,21,0,0,42,22,50,0,18,25,0,0,0,19,35,6,0,0,20,0,0,0,22,26,0,0,0,51,0,50,0,21,0,73,0,20,40,60,0,37,0,47,0,43,48,0,0,20,36,73,0,31,0,0,16,33,13,23,0,100,0,64,0,0,0,0,0,0,0,23,36,23,55,46
"15","2005-03-01",17,0,0,0,0,50,37,60,"0",63,0,18,81,0,57,34,0,57,0,0,10,55,0,0,0,19,0,0,0,0,0,0,0,78,45,0,66,0,0,37,86,0,35,31,22,0,54,31,0,0,0,20,0,0,30,0,15,23,12,80,0,0,3,46,31,46,0,0,28,20,0,0,0,18,84,45,0,0,0,0,70,0,0,77,19,0,0,0,0,0,0,7,24,32,0,15,73,0,0,56,0,0,0,0,12,22,0,9,0,0,0,50,23,28,0,43,32,77,19,0,0,0,0,10,0,0,14,0,0,0,30,0,0,0,0,7,37,13,5,0,0,0,21,25,23,0,0,32,73,0,0,0,62,32,0,48,0,0,0,0,0,0,19,12,20,15,65,0,49,29,0,29,0,25,0,0,22,0,27,0,29,15,0,0,0,17,0,0,0,2,26,72,0,0,44,23,61,0,0,15,0,0,0,37,0,0,0,19,14,0,0,0,0,34,61,50,0,15,0,52,34,64,0,30,0,0,38,17,0,13,15,44,0,0,43,0,0,0,0,0,72,12,37,13,21,0
"16","2005-04-01",19,0,0,0,0,0,42,80,"0",54,0,20,53,0,63,31,0,86,0,0,0,0,0,0,0,68,0,0,0,0,0,59,10,81,51,0,88,48,25,0,78,0,31,39,21,0,46,34,0,0,0,22,0,0,34,0,32,30,27,52,0,0,5,61,79,54,0,0,0,36,0,0,0,40,82,44,0,0,0,0,29,0,0,48,27,0,41,0,0,0,0,8,0,49,0,0,87,0,0,35,0,0,0,11,74,37,6,7,0,0,0,0,26,0,0,24,27,80,25,0,0,23,0,11,0,23,46,0,0,46,0,0,48,1,0,0,41,0,20,9,0,0,47,0,0,36,0,0,69,0,0,0,51,61,0,37,17,0,68,0,23,53,19,15,21,25,24,0,27,64,41,64,31,41,0,0,49,16,26,0,29,16,0,0,0,37,0,0,0,5,49,0,0,0,35,0,0,0,0,33,58,48,0,21,0,70,19,20,46,0,100,0,0,38,0,37,70,11,62,38,34,0,53,40,0,97,31,22,0,30,0,0,0,0,48,86,0,0,12,0,0,19,35,30,54,0
"17","2005-05-01",19,0,21,0,0,0,24,23,"1",72,0,22,87,65,27,33,0,61,0,0,0,27,0,0,0,25,0,0,0,39,100,0,31,98,62,0,46,0,21,12,92,0,54,34,19,0,70,30,40,0,0,0,65,27,29,0,21,25,29,38,0,66,4,81,38,42,0,0,0,43,17,0,0,39,81,27,0,0,25,0,34,0,0,37,34,0,18,0,0,0,0,10,23,31,0,15,60,0,0,54,0,0,0,10,41,32,0,15,0,0,0,48,33,54,0,63,62,77,33,0,57,0,53,17,56,20,27,0,0,80,0,0,0,1,0,19,35,0,13,0,0,0,20,0,0,0,0,10,30,0,0,17,30,23,0,40,15,67,0,0,0,46,21,13,21,29,0,0,23,83,0,0,14,36,0,0,14,14,43,0,17,14,0,0,0,0,0,10,33,2,67,0,0,0,12,22,0,0,0,28,0,42,0,54,0,0,17,16,27,0,44,0,0,39,0,38,0,14,0,33,33,0,93,20,0,42,27,39,11,19,0,0,65,27,0,49,0,0,0,0,69,11,20,32,31,0
"18","2005-06-01",18,0,0,0,0,0,24,24,"2",72,0,35,79,65,84,27,0,84,0,0,0,27,0,0,0,25,0,0,0,16,0,0,40,76,32,0,73,0,21,12,84,0,41,34,29,0,86,0,0,0,0,0,0,0,15,0,28,23,12,65,0,0,4,67,56,52,0,0,0,43,0,0,0,52,78,28,0,49,100,0,25,0,0,17,16,0,18,0,0,0,0,9,57,57,0,30,66,63,0,37,0,0,43,19,41,44,0,25,0,0,0,49,22,27,0,21,31,91,33,0,19,20,53,15,57,0,13,0,0,40,15,0,0,1,0,0,0,13,17,0,0,0,62,0,0,0,0,21,0,0,0,17,0,100,0,51,23,67,0,100,0,0,15,15,24,22,0,0,24,0,0,0,14,12,0,0,43,14,25,0,24,25,0,0,0,16,0,5,0,2,60,35,0,24,12,22,0,0,0,14,0,0,0,55,0,0,0,17,13,0,0,0,28,36,0,39,0,24,0,17,38,0,47,36,0,0,41,22,0,19,14,0,66,27,0,0,0,46,21,0,0,17,15,26,47,0
"19","2005-07-01",18,0,0,0,0,48,24,69,"1",98,0,13,78,0,55,40,12,59,0,0,0,27,42,0,0,25,0,0,0,0,0,0,13,56,50,75,55,0,21,24,80,0,13,32,26,0,100,0,0,0,0,0,0,0,15,0,21,16,12,96,0,66,4,56,59,55,0,0,0,35,0,0,0,56,81,22,0,0,25,0,17,0,0,58,44,0,0,0,0,0,0,6,0,48,0,0,100,0,0,42,0,0,42,10,47,33,0,21,0,0,0,0,44,0,0,0,31,89,40,0,0,20,0,12,0,21,34,21,0,40,29,0,0,1,0,0,0,13,11,0,0,0,41,24,0,0,28,20,41,0,0,34,30,30,0,49,23,0,60,100,0,0,11,14,25,15,21,0,23,55,24,56,54,0,0,0,28,42,23,0,15,14,0,0,0,49,0,16,0,4,42,35,0,24,43,33,59,0,0,0,51,42,0,36,0,0,17,16,34,0,44,0,0,29,0,50,0,14,0,17,45,0,0,41,0,0,20,25,0,26,0,42,0,27,42,0,0,0,0,37,0,20,26,20,31,39
"20","2005-08-01",18,0,0,0,0,0,0,60,"1",87,36,45,66,0,28,41,0,86,0,0,10,0,0,0,0,47,0,0,0,0,0,53,5,58,52,0,59,0,22,37,80,57,28,26,32,0,69,31,0,0,0,0,0,0,30,0,15,13,12,59,0,0,4,52,57,49,53,0,0,48,0,0,0,44,78,34,0,100,0,0,43,0,0,47,27,0,0,0,0,0,0,7,0,39,0,23,67,0,0,56,0,0,0,0,36,34,0,6,0,0,0,0,0,56,0,44,32,80,38,0,20,21,0,10,0,21,35,22,0,42,15,0,43,0,0,0,37,0,11,8,0,0,21,25,23,0,0,11,0,0,0,0,0,24,0,78,0,0,0,0,0,0,6,19,27,46,22,0,49,29,25,0,0,12,0,0,66,15,30,0,24,15,0,0,0,33,0,5,0,2,53,36,0,25,13,34,0,0,0,60,53,0,0,0,0,64,18,15,35,0,0,0,0,25,0,43,0,5,0,17,42,0,0,46,0,44,35,26,11,40,0,87,0,28,44,0,0,0,0,0,72,17,11,27,16,0
