"date","X20.代","X2ch.市況","X9619","a.worker","boj","chu.bura","credit.default","cs3.アンインストール","ds.ダービー.スタリオン","ds.ダビスタ","ds.ディスガイア","ds.ひぐらし","exchange.rate","fx.スプレッド.比較","fx.スプレッド","fx.プライム","fx.業者","iphone.japan","nikkei.online","psp.ソフト.ダウンロード","sbi.イー.トレード.証券","t.バック.大学","vista.セーフモード","vista.復元","yen.dollar.exchange","yen.dollar","アーマード.コア.sl","アクラ.ヴァシム","あつ.ひめ","あつ.姫","アベレイジ","アリアンツ","ありがとう.英語","アルルーナ.成長.日誌","アロハグ","アン.サイクロ","イートレード.証券.ログイン","いつか.この.手.が.穢.れる.時に","いつから","イラストレーター.cs3","インターバンク","インフレ.率","インフレ.金利","インフレ","ウェブ.チャンネル","ウォー.シップ.ガンナー.2.ポータブル","ウォール.ストリート.日記","え.ち.ぶろ","エヴァ.ま.ご","エクシズ.フォルス","エクシズ","エネルーピー","お.さぼり","お.ねえ.まんず","お.ま.家","お.酒","オイル.サーチャージ","おでこ","お互い","お金.かかる","お金","が.いい","が.痛い","かな.英語","カルカリアス","ギーク","キス.され.る","キス.の.流星","クリスタル.ベアラー.攻略","ケン.プラッツ","こ.そっと","コアダンス","ごはん.を.食べ.よう","コピー.10","コラテック","コンビニ","サイクロ.ペディア","サイバー.fx","サイバー.ドラゴン.ツヴァイ","サムライ.スピリッツ.六.番.勝負","サロン.系","じ.ょ.る.じ.ゅ","シソーダス","しゃ.ん.ぱら","しゃ.ん","ジョ.ブランド","シンフォニア.ラタトスク","スパイ.スイーパー","スプレッド.比較","セクター.別","センター.分け","ダービー.スタリオン.ds","ダウンロード.コミック","ダビング.10","ダビング.テン","ダビング","チャーチ.スト","チャート.fx","つか.ない","て.くる","で.り","ディスガイア.ds","テイルズ.オブ.シンフォニア.ラタトスク.の.騎士","テイルズ.オブ.シンフォニア.ラタトスク","デジ.造","デフレ.と.は","デフレ.対策","デフレ","と.ある.化学.の","と.ある.化学","どう.したら","どっち.が.いい","どっち.が","ドラゴンボール.レイジング.ブラスト.攻略","トラトラ.ゴールド","トラトラ","ニコニコ.cd","ニュージーランド.ドル.チャート","ヌーブラ.ヤッホー","ね.英語","ねこ.な.で","ネコナデ","の.あ.吉","は.ぴ.ふる","ハート.エイド","ハピフル","パン.パカ.パーティー","ハンス.ウルリッヒ.ルーデル","ハンス.ウルリッヒ","バンド.ブラザーズ.dx","ひぐらし.ds","ひぐらしのなく.頃.に.絆.第.一.巻.祟","ヒゲ.男爵","フード.マイレージ","ブイパス","ぶつけ.た","ブライアン.の.休日","プリマ.ステラ","プロサッカー.クラブ.を.つくろう.6.攻略","ボク.と.ホロ.の.一.年","ほっと.ダイレクト","ホット.ファズ","マネー.ポート","ムダ.ベストテン","メイク.落とし","メニュー","めんどくさい","も.る.す.ぁ","モグモグ.フ.ヨード","もり.すぎ","ユア.ファイル","ユニバーサル.バニー","よ.ぐね","ラスト.メンヘラー","ラタトクス","ラタトスク","ランチ.時間","り.から.始まる","リアルタイム.レート","リエトコート","ルーター.中継","レーサー.映画","レッド.リング","レプティレス.ナージャ","ローン.金利.動向","ロンドン.市場","一騎当千.great.guardians","三井.麻由","上.地.裕輔","上昇.率","上田.ハーロー","下.の.歯","世界.の.うめ.ざわ","世界.の.新着.動画","世界.の.新着","中国.银行","乙.aa","会.いたい.英語","似.てる","住宅.ローン.金利.動向","住宅.価格.指数","住宅.価格","住民.税.還付","何.ヶ月","何.する","何.口","何.回.も","何.回","何.歳.から","価格.高騰","倒産.危険.度.ランキング","値段","入っ.て.ない","入っ.てる","入塾","公務員.制度.改革.基本法","六.番.勝負","円.高.ドル.安","円.高.ドル","出.てる","北海道.サミット","北海道.洞爺.湖.サミット","北海道.洞爺.湖","単品.飲み.放題","原材料.高騰","原画.マン","友達.と","友達.の.親","友達.英語","口.周り","合う","喋る","国家.公務員.制度.改革.基本法","売っ.てる","変え.たい","変え","外し.方","外し","外汇.交易","外汇.牌价","外汇","外貨.普通.預金","外貨.預金.と.は","外貨.預金.円.高","外貨.預金.手数料","外貨.預金.銀行","外貨.預金","外貨","大.合奏.バンド.ブラザーズ.dx","大.吾郎.商店","大王.四.神.記","大王.四.神","天馬.の.道","太.王.四.神.記","太.王.四.神","太.王.四","太.王","奥歯","女子.に.人気","嬉しい.英語","安い","安く.て.美味しい","寝.てる","小川.忠洋","少女.魔法.学.リトル.ウィッチ.ロマネスク.editio.perfecta","山本.高弘","岡.兎.屋","市況","彼氏.の.家","忍.人","怒.られる","情報.ブック.オフ","愛.間.みるく","愛.間","投機.マネー","投機","方.が","日銀.政策.金利","日銀","早い","智代.編","本.石町.日記","東方.ピアノ","柔らかい","柔らかく","楽天.カード.支払い","歯.が.痛い","気持ち.悪く.なる","治す","治ら.ない","治る","泣く.夢","洞爺.湖.サミット","為替.ドット.コム","為替.ドット","為替.ニュース","為替.両替","為替.円","為替","無.担保.コール","燃料.価格","燃料.費","牌价","物価.上昇.率","物価.上昇","物価.高騰","物価高","狼.と.香辛料.ボク.と.ホロ.の.一.年","環境.モデル.都市","病院.面会.時間","病院.面会","痛く","目.が.小さい","目.が.細い","目尻","碧血.剣","神.夜","科学.技術.予算","絶対.チルドレン","美味しい.カフェ","美味しい.居酒屋","美男.時計","肩.が","腰.が.痛い","腰.が","花.より.男子.f","花.より.男子.ファイナル","落ち着く","言.われ.た","言.われる","赤.ニキビ","路地.裏.の.同人.書庫","返品.特約","迷う","連絡.なし","遅れる","酒.飲む.と","野村.ほっと.ダイレクト","野村.證券.ほっと","银行.汇率","間違え","関.塾.偏差.値","関.塾.独立.開業","面.長","面会.時間","頭.文字.d.エクストリーム.ステージ","頭.文字.d.エクストリーム","食べ.たら","食べ.れる","飲む","高騰","髪の毛","髭.男爵","魔界.戦記.ディスガイア.魔界.の.王子.と.赤い.月","鼻.の.下"
"2004-11-01",13,15,0,0,67,0,0,0,"0","0","0","0",31,0,0,0,0,0,47,0,0,0,0,"0",63,27,0,0,"0",0,0,16,2,0,0,0,0,0,2,0,21,12,33,23,0,"0",0,0,0,"0","3",0,"0","0",0,18,0,4,23,0,19,14,11,36,0,0,0,0,"0",0,0,0,0,15,0,22,73,"8",0,0,0,0,0,"0",27,0,"0",0,20,0,10,"0",8,"0",0,25,0,0,8,12,25,"0","0","0",0,0,28,18,0,0,16,6,14,0,0,9,0,33,0,2,0,"0",0,"0",0,0,0,0,8,"0","0",0,0,14,0,11,0,"0",0,0,27,0,39,0,0,14,2,0,"0",0,0,"0",0,0,"0","0",3,0,16,0,19,20,66,0,48,15,"0",0,0,73,0,14,0,0,0,32,75,0,4,0,0,35,11,0,15,5,3,13,1,15,0,17,9,5,0,0,0,72,83,3,0,"0",9,0,0,"7",14,21,6,10,13,15,0,4,11,26,16,26,0,26,27,0,21,32,53,65,38,34,"0",0,"0","0",0,"0",0,0,0,5,0,12,17,7,1,0,0,42,0,36,0,31,0,79,0,0,13,25,19,0,25,13,0,0,0,12,10,0,10,31,8,3,6,0,"0",38,0,22,10,36,38,0,0,30,25,58,18,0,0,0,0,9,19,8,0,0,7,0,23,0,0,16,11,"0",14,7,9,0,0,5,0,17,0,"0",0,20,0,20,0,0,0,13,18,"0",0,4,8,0,0,3,12,17,17,5,0,0,5
"2004-12-01",13,21,0,0,48,0,0,0,"0","0","0","0",31,0,0,3,11,0,44,0,0,0,0,"0",20,25,0,0,"0",0,0,0,4,0,0,0,0,0,2,0,19,28,31,21,0,"0",0,0,0,"0","0",0,"11","0",0,20,0,5,18,9,19,17,9,0,0,2,0,0,"0",0,0,0,0,0,0,19,87,"0",0,0,0,0,0,"0",41,0,"0",0,0,0,0,"0",12,"1",0,36,0,0,6,9,21,"0","0","0",0,0,26,10,0,0,11,7,11,0,0,8,0,31,0,2,12,"0",0,"0",0,0,0,7,7,"0","0",0,0,0,0,0,0,"0",0,0,13,0,0,0,5,14,5,0,"0",0,0,"0",0,0,"0","0",3,0,11,0,0,0,41,0,0,41,"0",0,0,68,0,13,0,0,0,27,0,0,6,0,0,28,0,4,14,10,9,7,0,14,0,17,16,2,0,0,0,27,10,2,0,"0",4,0,19,"0",5,0,0,9,12,19,0,12,21,23,17,22,0,48,53,73,0,30,49,37,39,27,"0",0,"0","0",0,"0",0,0,1,6,0,0,17,6,0,0,0,0,0,25,12,0,15,0,0,19,12,51,13,0,31,16,0,46,0,13,14,0,3,10,8,2,4,0,"0",47,22,36,14,33,35,0,0,0,71,80,65,0,0,0,0,23,36,8,0,0,9,0,30,0,1,8,10,"0",8,11,13,0,0,13,3,4,0,"0",0,11,0,13,9,0,0,23,13,"0",0,4,0,0,0,6,3,15,9,9,0,0,5
"2005-01-01",13,26,0,0,63,0,0,0,"0","0","0","0",47,0,0,0,0,0,80,0,0,0,0,"0",53,14,32,0,"0",0,0,14,2,0,0,0,0,0,2,0,17,15,0,28,35,"0",0,0,0,"0","0",0,"0","0",0,16,0,5,16,9,22,16,8,15,0,1,0,0,"0",20,13,0,32,6,0,21,35,"0",0,0,0,0,0,"0",42,71,"0",0,0,0,13,"0",32,"0",0,31,0,0,6,11,10,"0","0","0",0,5,0,16,0,0,10,4,9,0,0,7,0,0,0,0,11,"0",0,"0",0,0,0,0,6,"0","0",0,0,17,0,5,0,"0",0,0,11,0,0,0,0,13,7,0,"0",0,0,"0",0,0,"0","0",5,0,3,0,0,0,18,0,27,0,"0",0,0,41,12,0,0,0,0,31,31,0,4,0,0,41,14,3,19,4,11,12,2,4,0,16,7,2,13,0,0,24,9,3,0,"0",6,0,17,"0",6,0,5,25,12,15,0,5,10,31,21,33,0,44,37,33,0,27,67,51,54,36,"0",0,"0","0",0,"0",0,0,1,8,24,0,17,0,3,0,0,0,0,48,0,26,0,22,0,12,11,16,18,0,26,18,0,0,0,14,9,0,0,0,7,7,6,0,"0",32,10,23,16,30,31,13,9,25,14,24,45,0,0,0,8,18,20,6,0,0,11,0,21,29,3,10,5,"0",14,10,15,0,0,4,3,4,0,"0",0,19,8,17,16,17,33,42,13,"0",0,9,7,0,0,5,1,18,5,11,0,0,21
"2005-02-01",9,34,0,0,27,0,68,0,"0","0","0","0",61,0,10,13,11,0,43,0,0,0,0,"0",29,13,35,0,"0",0,0,14,2,0,0,0,0,0,4,0,56,22,30,22,37,"0",0,0,0,"0","0",0,"0","0",0,17,0,6,15,7,18,15,10,0,0,0,27,0,"0",0,0,0,0,7,0,20,57,"0",0,0,0,0,0,"0",47,0,"0",0,0,0,9,"0",19,"0",0,36,0,4,12,10,20,"0","0","0",0,8,0,9,0,0,16,6,12,0,0,24,0,0,0,0,12,"0",0,"0",0,0,0,0,0,"0","0",0,0,12,0,5,0,"0",0,0,25,0,0,0,5,14,3,0,"0",0,0,"0",0,0,"0","0",4,0,7,0,0,18,40,0,29,26,"0",0,0,44,0,13,0,0,0,20,0,0,7,0,0,55,35,2,13,10,6,12,4,0,0,17,6,2,9,0,0,13,9,7,4,"0",8,0,0,"0",10,0,0,0,12,21,0,7,7,25,21,23,32,55,16,36,19,29,0,39,36,33,"0",41,"0","0",0,"0",0,0,1,14,0,0,17,6,5,0,0,0,0,35,0,28,0,48,0,19,0,22,18,0,22,18,0,0,0,11,9,9,0,19,11,3,5,0,"0",0,22,10,18,26,32,14,10,14,31,39,48,0,0,0,0,22,17,7,0,0,24,0,29,32,0,15,15,"0",7,7,7,0,0,8,8,4,10,"0",0,23,0,20,0,0,35,11,12,"0",0,6,22,0,0,6,9,16,13,10,2,0,14
"2005-03-01",12,35,0,0,11,0,0,0,"0","0","0","0",50,0,0,6,9,0,0,6,0,0,0,"0",16,17,0,0,"0",0,0,0,2,0,0,0,0,0,3,0,16,9,26,23,31,"0",0,0,0,"0","0",0,"0","0",0,20,33,5,15,16,19,18,10,14,0,2,0,0,"0",0,0,0,0,0,0,21,89,"0",0,0,51,0,0,"0",41,64,"0",0,0,0,0,"0",23,"0",0,34,0,7,12,9,18,"0","0","0",0,5,21,10,0,0,8,5,9,0,0,27,0,0,0,8,21,"0",0,"0",54,0,0,0,0,"0","0",0,0,26,0,4,0,"0",0,0,10,0,30,0,4,13,7,0,"0",0,0,"0",0,0,"0","0",0,0,9,0,0,15,85,0,49,22,"0",0,0,19,32,22,0,0,0,24,29,0,8,0,0,37,17,8,14,4,10,8,0,0,0,15,3,8,4,0,0,17,16,4,7,"0",12,0,0,"0",11,16,5,4,11,8,0,7,23,26,22,26,0,0,21,0,16,0,0,19,36,28,"0",0,"0","0",0,"1",1,1,2,8,22,0,17,0,5,0,0,0,0,31,0,24,8,31,0,0,0,10,15,0,20,18,0,38,16,16,11,0,2,8,9,5,5,0,"0",10,14,17,23,29,29,12,8,12,13,44,67,0,0,0,0,17,11,7,22,0,10,0,14,0,0,16,0,"0",11,2,9,0,0,14,5,2,9,"0",0,18,0,26,8,0,29,10,16,"0",0,4,3,0,0,5,1,16,4,11,0,0,8
"2005-04-01",11,26,0,0,13,0,0,0,"0","0","0","0",13,0,28,3,21,0,42,0,0,0,0,"0",27,25,0,0,"0",0,12,0,0,0,0,0,0,0,2,0,18,21,28,18,36,"0",0,0,0,"0","0",0,"0","0",0,17,0,9,36,9,17,15,9,15,0,1,0,0,"0",0,14,0,0,13,19,20,36,"0",0,0,0,0,0,"0",34,74,"0",0,0,0,9,"0",15,"0",0,31,0,0,11,10,15,"0","0","0",0,5,0,6,0,0,13,4,10,0,0,8,0,28,0,0,0,"0",0,"0",59,0,0,7,7,"0","0",0,0,0,0,10,0,"0",0,0,0,0,100,0,10,12,2,0,"0",0,0,"0",0,0,"0","0",5,0,3,0,0,18,38,0,28,13,"0",0,0,10,23,0,0,0,0,14,0,0,4,0,0,26,0,3,18,5,14,9,6,4,0,15,19,11,9,0,0,12,9,5,0,"0",4,0,18,"0",6,18,5,4,12,9,0,5,3,26,24,25,60,15,28,34,0,0,45,28,29,24,"0",0,"0","0",0,"1",1,0,4,21,18,0,18,0,5,0,0,0,0,24,22,33,5,22,0,12,11,31,11,0,24,11,0,0,0,19,10,9,6,0,7,4,4,0,"0",16,41,24,21,25,30,28,0,0,22,51,46,0,43,0,8,11,0,7,17,0,17,0,34,31,4,7,5,"0",14,6,6,0,0,16,2,2,0,"0",0,12,0,17,0,0,0,0,11,"0",0,4,17,0,0,3,3,15,6,10,2,0,4
"2005-05-01",13,0,0,0,27,0,0,0,"0","0","0","0",43,0,0,3,0,0,35,6,0,0,0,"0",46,14,0,0,"0",0,0,24,3,0,0,0,0,0,3,0,23,0,0,12,30,"0",0,0,0,"0","2",0,"0","0",0,21,0,12,24,19,21,14,12,26,0,3,0,0,"0",17,0,0,0,0,0,20,62,"0",0,0,0,0,0,"0",37,0,"0",0,0,18,0,"0",22,"0",0,32,0,0,12,10,14,"0","0","0",0,9,0,14,0,0,15,5,12,0,0,0,0,0,0,0,0,"0",0,"0",0,0,0,0,6,"0","0",0,0,20,0,8,0,"0",0,0,10,0,0,0,8,13,6,0,"0",0,0,"0",0,0,"0","0",2,0,3,0,0,30,16,0,47,22,"0",0,0,45,0,11,0,0,0,14,28,0,7,0,0,61,8,7,12,4,5,10,2,8,0,17,3,6,0,0,0,21,0,3,5,"0",8,0,0,"5",8,0,22,11,11,11,0,7,14,28,18,24,0,6,37,0,15,24,0,26,27,30,"0",0,"0","0",0,"1",0,0,2,11,10,0,17,0,5,0,0,0,0,25,0,28,4,0,0,10,10,14,16,19,23,17,0,72,15,16,16,8,14,0,8,3,6,0,"0",14,13,20,4,40,32,0,0,11,19,53,26,0,0,0,7,16,14,9,14,0,14,0,30,26,1,15,8,"0",21,4,7,0,0,7,8,5,0,"0",0,25,7,21,21,0,0,0,16,"0",0,4,9,0,0,14,5,14,11,10,0,0,11
"2005-06-01",10,22,0,0,64,0,26,0,"0","0","0","3",22,25,8,3,0,0,34,0,0,0,0,"0",15,21,0,0,"0",0,0,57,1,0,0,0,0,0,3,0,15,21,36,25,44,"0",0,0,0,"0","0",0,"0","0",0,19,0,10,7,6,19,14,11,0,0,1,0,0,"0",17,0,0,0,0,16,22,45,"0",0,0,23,0,0,"0",38,0,"0",0,14,17,0,"0",15,"1",0,28,0,3,8,10,16,"0","0","0",0,13,20,20,0,0,15,9,8,0,0,6,0,47,0,2,0,"0",0,"0",0,0,0,0,0,"0","3",0,0,19,0,12,0,"0",0,0,10,0,28,0,8,12,8,0,"0",0,0,"0",0,0,"0","0",2,0,0,0,0,14,31,0,34,0,"0",0,0,52,10,0,0,0,0,26,27,0,11,53,0,63,0,7,10,4,10,10,4,15,0,17,11,8,4,0,0,0,22,3,0,"0",18,0,0,"5",9,0,13,4,9,11,0,6,19,28,18,24,25,31,26,0,0,46,19,25,32,29,"0",0,"0","3",0,"1",0,1,2,12,10,0,17,5,10,0,0,0,0,40,18,16,4,38,0,20,9,31,17,0,28,17,0,35,15,22,7,0,2,11,8,3,6,0,"0",27,34,8,21,40,34,0,15,0,24,41,0,0,0,0,0,9,7,6,0,0,12,0,13,25,2,12,4,"0",16,7,11,0,0,7,7,7,8,"0",0,33,0,32,0,0,28,9,19,"0",0,5,14,0,0,7,6,18,6,8,0,0,7
"2005-07-01",11,16,0,0,21,0,0,0,"0","0","0","0",36,24,8,0,0,0,0,0,0,0,0,"0",29,22,26,0,"0",0,0,11,0,0,0,0,0,0,2,0,36,38,0,18,28,"0",0,0,0,"0","0",0,"0","0",0,15,0,8,9,4,17,15,11,12,0,2,0,0,"0",16,0,0,0,0,0,20,51,"0",0,0,0,0,0,"0",24,0,"0",0,27,0,0,"0",20,"0",0,31,0,0,7,12,12,"0","0","0",0,8,0,13,0,0,7,4,7,0,0,6,0,34,0,0,0,"0",0,"0",48,0,0,6,5,"0","0",0,0,19,13,15,0,"0",0,0,9,0,27,0,4,13,4,0,"0",0,0,"0",0,0,"0","0",4,0,16,0,0,21,68,0,22,41,"0",0,0,42,0,10,0,0,0,30,26,0,5,0,24,33,8,4,15,0,14,9,5,4,0,16,8,13,4,0,0,10,7,4,3,"0",16,0,0,"0",8,0,4,0,12,5,0,5,5,26,20,24,0,30,31,28,14,0,0,32,22,31,"0",47,"0","0",0,"1",2,1,3,6,29,8,16,0,7,0,0,0,0,31,18,53,11,28,0,10,9,34,14,0,28,17,0,0,14,14,11,0,9,0,10,3,4,0,"0",13,29,8,17,26,37,11,15,0,12,40,36,0,0,0,0,11,7,10,13,0,11,0,37,24,11,6,8,"0",20,7,13,0,0,10,6,5,0,"0",0,20,7,24,7,14,0,35,15,"0",0,5,8,0,0,4,10,16,11,12,0,0,10
"2005-08-01",11,27,0,0,21,0,0,0,"2","0","0","0",42,0,0,3,17,0,34,0,0,0,14,"0",45,19,0,0,"0",0,0,11,3,0,0,0,0,0,3,0,15,13,24,19,0,"0",0,0,0,"0","2",0,"0","0",0,17,0,11,21,6,19,20,10,0,0,0,0,0,"0",0,0,0,0,0,0,21,30,"0",0,0,93,0,0,"7",33,0,"0",62,14,17,7,"2",30,"0",0,29,0,3,6,11,17,"0","0","0",0,7,20,6,0,0,17,7,12,0,0,0,0,24,0,3,0,"0",25,"0",0,0,0,6,5,"0","0",0,0,10,0,16,0,"0",0,0,0,0,28,0,8,12,5,0,"0",0,0,"0",0,0,"0","<1",5,0,8,0,14,14,47,0,34,21,"0",0,0,17,20,0,0,0,0,40,0,0,6,0,0,41,8,1,16,11,10,11,6,7,0,14,6,6,4,0,0,10,15,4,0,"0",16,0,15,"0",7,0,0,14,10,11,0,4,16,23,10,25,25,19,36,0,15,23,19,33,32,30,"0",32,"0","0",0,"1",1,1,3,15,10,0,16,0,9,0,0,0,0,22,0,22,0,19,0,10,0,17,15,18,20,15,0,35,0,14,13,7,0,7,9,6,5,28,"0",13,13,32,35,28,34,11,8,11,24,21,13,0,0,0,0,20,17,5,14,0,14,0,31,25,4,6,0,"0",16,9,15,0,0,10,6,3,8,"0",41,16,0,18,21,0,0,18,9,"0",0,4,11,0,0,11,5,19,14,17,4,0,11
"2005-09-01",10,10,0,0,21,0,26,0,"0","0","0","0",38,0,8,8,8,0,33,0,0,0,0,"0",0,15,26,0,"0",0,0,22,1,0,0,0,0,0,2,0,14,17,23,19,56,"0",0,0,0,"0","0",0,"8","0",0,18,0,13,13,7,18,16,11,0,0,2,0,0,"0",0,0,0,53,0,0,23,36,"0",0,0,0,0,0,"0",43,0,"0",60,0,16,7,"0",17,"0",39,34,16,3,3,15,11,"0","0","0",0,8,19,11,0,0,12,8,5,0,0,12,0,23,0,2,0,"0",0,"0",0,0,0,11,5,"0","0",0,0,19,0,8,0,"0",0,0,9,0,0,0,8,12,8,0,"0",0,0,"0",0,0,"0","0",2,0,5,0,0,14,75,0,33,20,"0",9,0,50,28,0,0,0,0,20,0,0,10,17,0,66,8,5,11,4,7,10,4,18,0,16,12,13,4,0,0,20,14,5,0,"0",12,0,14,"0",10,0,0,3,10,5,0,5,10,23,10,26,0,24,18,0,0,22,36,20,16,31,"0",0,"7","0",0,"0",1,0,5,9,10,0,16,10,7,0,0,0,0,41,0,21,0,27,0,24,9,13,15,18,21,16,0,34,0,14,8,0,7,0,7,3,3,0,"0",26,29,19,10,20,35,22,29,21,23,40,24,0,0,0,0,11,3,7,13,21,9,0,21,0,6,11,11,"0",8,2,10,0,0,9,5,7,0,"0",0,29,0,16,20,14,27,0,13,"0",0,4,3,0,0,11,5,16,13,16,0,0,3
"2005-10-01",12,15,0,0,34,0,48,0,"2","0","7","0",42,0,7,12,11,0,0,0,0,0,0,"0",41,16,0,0,"0",0,0,21,1,0,0,0,15,0,2,0,20,23,22,30,26,"0",0,0,0,"0","0",0,"7","0",0,18,0,6,21,7,24,19,10,23,0,2,0,0,"0",0,0,0,0,10,0,22,20,"5",0,0,21,0,0,"0",32,0,"0",0,0,15,7,"2",19,"0",0,30,0,19,11,10,15,"7","0","0",0,4,36,4,0,0,9,2,7,0,0,11,0,21,0,5,0,"0",0,"0",0,0,0,0,0,"0","0",0,0,27,12,7,0,"0",0,0,35,0,0,0,7,12,3,0,"0",24,5,"0",0,0,"0","0",2,0,5,15,0,0,21,0,83,9,"0",9,0,24,9,9,0,0,0,25,0,0,7,64,0,23,22,4,14,5,11,11,6,23,0,16,9,17,3,0,0,9,7,2,3,"0",12,0,13,"0",9,0,4,10,10,12,0,6,12,25,12,25,0,34,21,0,0,0,0,12,32,30,"0",0,"0","0",0,"1",1,1,6,11,9,0,16,13,4,0,0,0,0,47,17,30,4,17,0,18,0,20,17,17,30,17,0,32,0,18,17,0,2,7,8,4,4,0,"0",37,47,22,0,31,34,31,14,29,33,47,23,0,0,0,0,14,12,12,0,20,11,20,21,23,12,13,4,"0",12,6,8,0,0,9,7,6,0,"0",0,17,13,18,25,13,0,0,12,"0",0,7,13,0,0,8,3,21,15,11,0,0,10
"2005-11-01",10,47,0,0,57,0,52,0,"0","0","4","0",32,24,0,8,16,0,33,11,0,0,0,"6",29,29,0,0,"0",0,0,22,4,0,0,0,0,0,2,0,21,21,69,24,29,"0",0,0,0,"0","0",0,"0","0",0,16,0,9,16,5,20,20,10,12,0,1,21,0,"0",0,0,0,0,0,0,21,87,"0",0,0,23,0,0,"0",42,0,"0",60,0,0,0,"0",23,"0",0,34,0,0,10,9,15,"4","0","0",0,8,19,15,0,0,13,8,14,0,0,12,0,46,0,2,0,"0",0,"0",0,0,0,6,0,"0","0",0,38,29,26,8,0,"0",0,0,9,0,27,0,12,12,9,48,"0",0,0,"0",0,0,"0","<1",2,0,3,0,0,14,53,0,44,20,"0",0,0,25,19,0,30,0,0,18,26,0,9,34,0,45,0,4,15,7,14,10,4,4,0,16,6,6,11,0,0,30,7,3,6,"0",9,0,0,"0",6,0,0,10,15,19,0,7,13,22,16,24,0,18,27,27,29,0,18,25,13,30,"0",31,"0","0",0,"1",0,0,4,12,10,0,15,5,7,48,0,0,0,42,18,21,8,0,0,14,9,25,14,18,26,14,0,34,0,24,17,0,7,0,8,5,5,13,"0",35,42,27,10,33,39,11,29,10,6,100,37,0,0,0,0,9,7,11,0,0,7,0,17,24,12,17,11,"0",25,8,7,0,0,13,6,7,0,"0",0,16,0,16,27,0,27,0,11,"0",0,4,6,0,0,2,10,16,13,11,2,0,14
"2005-12-01",9,42,0,0,31,0,26,0,"0","0","0","3",62,0,0,13,8,0,33,0,0,0,0,"0",44,25,53,0,"0",0,0,11,6,0,0,0,0,0,4,0,43,17,57,33,0,"0",41,0,0,"0","0",0,"0","0",0,21,0,13,11,5,19,18,11,25,0,1,0,17,"0",0,0,0,0,5,0,18,43,"0",0,0,0,0,0,"0",27,0,"0",0,0,16,0,"0",29,"0",0,29,0,3,10,12,12,"0","0","0",0,8,0,13,0,0,9,3,8,0,0,24,0,34,0,0,0,"0",24,"0",0,0,0,6,0,"0","3",0,0,24,0,4,0,"0",0,0,9,0,27,0,8,14,4,0,"0",0,0,"0",0,0,"0","0",2,0,11,0,0,0,53,0,33,10,"0",9,0,76,9,30,30,0,0,30,0,0,6,0,0,18,8,4,7,4,9,10,5,28,0,17,6,6,0,0,0,20,7,3,0,"0",0,0,0,"0",8,29,4,10,13,14,0,6,5,28,15,25,0,36,28,0,0,0,73,12,24,30,"0",0,"3","0",0,"2",1,1,7,13,0,0,15,10,6,0,0,0,0,55,18,32,4,18,0,19,0,25,13,0,31,19,0,0,14,8,8,0,11,7,8,3,4,13,"0",52,33,31,13,40,42,0,29,0,29,40,24,0,0,0,7,4,13,7,13,0,18,21,21,48,9,6,4,"0",15,3,12,8,0,16,3,5,0,"0",0,22,0,33,7,0,27,17,15,"0",0,7,6,0,0,9,7,19,18,11,0,0,0
"2006-01-01",12,62,0,0,28,0,23,0,"0","0","0","0",56,0,14,7,11,0,30,0,0,0,0,"0",26,23,0,0,"0",0,0,10,3,0,0,0,14,0,4,0,13,30,21,41,26,"0",0,0,0,"0","0",0,"0","0",0,16,0,6,4,10,19,18,10,22,0,2,0,0,"0",0,0,0,0,5,0,21,52,"0",0,0,0,0,0,"6",32,53,"0",0,0,0,6,"0",40,"0",0,32,0,12,12,12,14,"0","0","0",0,11,17,15,0,0,15,8,11,0,0,17,0,41,0,3,8,"0",0,"0",0,0,0,0,0,"0","0",0,0,17,24,0,0,"0",0,0,0,0,0,0,11,13,8,0,"0",23,0,"0",0,0,"0","0",5,0,10,0,0,13,55,0,20,9,"0",0,0,38,9,0,27,0,0,32,23,0,10,0,21,30,7,2,14,0,4,11,5,13,21,15,11,12,3,0,0,13,26,2,3,"0",6,0,0,"4",10,13,7,3,11,10,0,4,10,24,15,21,0,59,32,100,0,0,0,16,20,30,"0",0,"3","0",0,"3",2,3,6,15,9,0,15,13,3,0,0,0,0,63,16,38,7,17,0,13,0,27,16,0,32,19,0,30,13,11,14,0,8,6,7,4,6,36,"0",24,34,24,18,26,41,20,26,37,63,54,22,26,0,0,0,8,6,8,0,0,10,19,26,22,8,18,3,"0",13,3,9,0,0,3,6,4,7,"0",0,9,0,21,0,0,0,16,11,"0",0,8,7,0,0,2,1,17,14,9,2,0,22
