"date","alabama.unemployment","amazing.sonic.scene.creator.2","annual.convention","arizona.unemployment.rate","arkansas.unemployment","auction","bible.lessons","big.fun.town","birthday.party.invitations","blonde.scene","bridal.bouquets","business.cards","business.in","business.services","ca.unemployment.rate","ca.unemployment","california.unemployment.rate","canadian.unemployment.rate","chase.loan.modification","chinese.movies.online","christening.gowns","clinical.laboratory","co.unemployment","college.community","colorado.unemployment","combofix","community.centers","community.education","community.learning","community","confidentiality.agreement","consultant.resume","ct.unemployment","current.national.unemployment.rate","current.unemployment.rate","current.unemployment","day.school","department.of.labor.unemployment","design.resume","designer.resume","development.center","divorce.mediation","download.streaming.video.free","education.center","effective.resume","emory.first.class.login","failblog","fictitious.business","finding.a.job","florida.unemployment.rate","florida.unemployment","free.tower.defense.games","free.video.tube","functional.resume","ga.unemployment","gmac.loan.modification","grants.wiki","graph.of.unemployment","graphic.design.resume","graphic.designer.resume","green.energy.jobs","grocery.prices.online","hawaii.unemployment.rate","hbo.movies.online","health.education.center","help.for.the.unemployed","high.school.district","highest.unemployment.rate","highest.unemployment","home.loan.modification","home.retention","how.long.is.unemployment.benefits","how.to.get.a.loan.modification","il.unemployment","illinois.unemployment.benefits","illinois.unemployment","independent.schools","indiana.unemployment.rate","indiana.unemployment","iphone.app.tutorial","job.websites","jobless.claims","jobless.rate","jobless","jobs.in.demand","juried","kisses.movie","ks.unemployment","ky.unemployment","labor.department.unemployment","language.center","lawyers","legal.services","length.of.unemployment.benefits","length.of.unemployment","loan.modification.laws","love.story.chords","maine.unemployment.rate","marketing.resume","maryland.unemployment.rate","massachusetts.unemployment.rate","mediation.training","medical.training","mi.unemployment.rate","midnighters.series","mint.com","missouri.unemployment.rate","missouri.unemployment","modified.mortgage","money.supply.chart","montelucia.resort","montgomery.county.community.college","monthly.unemployment.rate","my.gatech","national.unemployment.rate","need4","nevada.unemployment.rate","new.york.unemployment.rate","north.carolina.unemployment.rate","number.of.people.unemployed","nursing.society","ny.ui","ny.unemployment","nys.ui","nys.unemployment","obama.campaign.promises","occasion.dresses","ohio.unemployment.rate","ohio.unemployment","oncology.nursing","online.resume","pa.unemployment.rate","pa.unemployment","paralegal","pennsylvania.unemployment.rate","private.schools.in","promotional.products","pspube","recession.recovery","resume.career","resume.writers","resume","retreat.house","ri.unemployment.rate","roast.restaurant.detroit","sample.resume","san.diego.unemployment.rate","sc.unemployment.rate","schools.on.long.island","services","showgirlzexclusive","skills.test","south.carolina.unemployment.rate","state.by.state.unemployment","state.unemployment","state.with.highest.unemployment","states.with.highest.unemployment","submit.your","technology.center","tennessee.unemployment.rate","tennessee.unemployment","the.unemployed","therapy.training","tn.unemployment","toastmasters","total.unemployment","training.center","ui.benefits","umail.iu.edu","unemp","unemploy","unemployed.benefits","unemployed.workers","unemployed","unemployment.benefit.ny","unemployment.benefit","unemployment.benefits.maryland","unemployment.benefits.massachusetts","unemployment.benefits.pennsylvania","unemployment.benefits","unemployment.blog","unemployment.by.state","unemployment.chart","unemployment.check","unemployment.in.california","unemployment.in","unemployment.insurance.benefits","unemployment.online","unemployment.payments","unemployment.percentage","unemployment.rate.california","unemployment.rate.chart","unemployment.rate.florida","unemployment.rate.forecast","unemployment.rate.in.california","unemployment.rate.in.canada","unemployment.rate.in.new.york","unemployment.rate.in.ohio","unemployment.rate.in.the.us","unemployment.rate.in","unemployment.rate.state","unemployment.rate","unemployment.rates.by.state","unemployment.rates.by.year","unemployment.rates.in.us","unemployment.trend","unemployment","unemployments","university.job","us.jobless.rate","us.unemployment.benefits","us.unemployment.rate.history","us.unemployment.rate","us.unemployment","utah.unemployment.rate","va.unemployment","virginia.unemployment.rate","vocational.school","wa.state.unemployment","washington.state.unemployment.rate","washington.unemployment.rate","weddings","wells.fargo.financial.locations","what.caused.the.recession","wisconsin.unemployment","writing.a.cover.letter","www.unemployment.wisconsin.gov","youth.bible.study"
"2004-11-01",14,0,43,66,27,84,77,0,43,20,30,85,83,81,45,15,20,0,0,20,71,78,0,73,29,"0",78,67,64,82,64,98,5,100,33,30,31,42,43,25,79,44,0,73,17,0,0,41,85,0,21,0,3,56,14,0,58,41,33,36,0,54,41,0,61,71,76,17,15,0,0,44,0,8,22,25,52,60,13,0,38,13,23,20,45,66,50,19,4,45,65,89,67,0,40,0,0,92,58,47,50,100,75,0,0,4,67,12,52,0,0,62,0,0,83,0,92,14,82,63,70,0,12,0,8,0,43,51,12,53,45,58,12,75,34,75,64,0,0,37,77,78,58,0,0,75,0,0,77,84,0,79,0,12,33,59,0,17,73,99,20,29,70,7,65,0,73,0,0,0,0,17,0,38,38,15,32,65,32,12,25,8,25,4,21,27,21,7,16,50,19,20,0,97,0,27,53,66,14,32,18,36,0,0,56,65,20,0,80,0,22,61,48,49,56,19,0,79,16,42,73,62,0,0,17,52,0,55
"2004-12-01",6,0,52,29,32,79,50,0,33,0,23,79,71,68,20,12,36,0,0,18,37,59,12,73,22,"0",61,58,54,80,55,99,6,0,15,30,28,45,31,60,67,67,25,68,29,0,0,56,41,26,20,0,2,52,20,0,0,92,44,33,12,48,0,0,39,0,66,0,0,0,0,0,0,13,19,32,52,27,12,0,35,31,0,31,18,54,29,0,6,50,71,78,68,0,0,0,0,81,55,42,59,48,66,0,0,2,60,21,0,0,0,53,0,0,31,93,0,18,36,57,40,0,18,0,7,0,25,0,12,36,41,0,10,75,0,60,54,0,0,42,52,69,17,0,0,65,75,48,60,84,0,52,0,8,41,0,0,16,51,0,12,12,71,6,59,31,64,13,0,0,0,0,43,32,34,21,28,38,43,11,0,10,31,4,19,21,14,10,0,22,42,35,26,29,34,0,0,0,13,36,18,29,13,0,0,0,19,26,65,0,19,0,26,36,50,19,30,79,7,0,32,61,39,0,15,49,0,29
"2005-01-01",15,0,76,26,49,89,65,0,93,0,91,89,82,71,18,28,32,0,0,16,45,69,28,93,35,"0",81,95,65,95,64,36,13,39,22,35,49,68,93,100,82,55,16,89,32,0,0,87,90,28,23,0,2,63,18,0,0,0,82,36,0,21,32,20,60,0,100,39,12,3,12,0,0,18,13,38,73,0,14,0,44,17,0,24,32,95,77,0,14,56,78,92,71,0,0,0,7,72,67,37,26,71,96,0,0,5,0,30,0,62,0,65,0,34,62,0,0,27,65,100,69,22,15,19,12,0,64,27,12,68,76,34,22,95,27,86,70,0,26,73,53,99,86,0,0,98,66,42,90,94,0,80,44,6,48,47,0,23,76,59,21,21,61,5,78,45,79,24,0,26,31,27,19,32,30,16,49,17,50,13,0,4,20,12,27,22,23,8,6,15,0,16,28,26,0,0,83,0,0,27,19,29,12,0,22,0,24,68,82,0,0,32,35,38,0,21,0,92,25,99,43,99,0,0,26,62,49,17
"2005-02-01",6,0,63,55,15,91,82,0,79,8,82,92,84,97,0,26,17,0,0,0,61,77,23,72,21,"0",72,74,67,85,87,81,5,0,23,20,44,53,62,70,90,45,40,82,41,0,0,85,69,12,19,0,0,62,19,0,0,34,82,53,23,23,0,21,46,0,96,0,10,0,31,0,0,15,18,37,84,25,14,0,51,11,19,22,24,86,54,8,12,55,71,92,82,44,66,0,0,0,100,39,27,37,69,0,0,2,56,15,0,44,0,76,0,0,29,0,38,17,34,0,60,0,15,0,12,0,64,0,12,93,66,24,12,91,28,91,64,0,41,75,56,98,85,0,0,88,0,0,64,91,0,79,0,10,39,0,0,21,69,0,17,34,85,7,80,0,87,13,0,18,20,14,20,41,62,28,0,0,27,11,0,2,17,12,28,20,30,9,20,46,16,0,12,27,0,22,0,0,47,32,10,30,0,0,35,36,21,0,79,68,45,0,25,41,0,16,0,78,13,35,45,81,0,40,13,100,0,64
"2005-03-01",11,0,77,0,56,88,66,0,65,7,87,89,84,80,16,19,14,0,0,14,70,75,10,80,28,"0",87,79,68,90,70,88,8,0,23,24,40,67,80,72,88,69,24,88,52,0,0,92,68,20,17,0,0,67,3,0,0,43,73,39,0,38,29,17,46,0,94,12,11,0,21,0,0,9,15,31,88,21,14,0,47,28,0,27,34,85,11,7,10,59,72,88,80,37,42,0,6,63,64,0,35,88,80,0,0,1,47,17,0,37,0,100,0,30,31,0,32,29,29,90,72,0,12,0,11,0,100,12,11,59,59,60,16,81,48,81,71,0,0,84,64,94,69,0,0,98,58,0,67,91,0,62,0,9,39,0,0,18,74,35,12,24,93,5,65,32,81,0,0,0,22,12,26,26,27,10,33,30,44,10,17,11,11,10,18,23,18,12,11,30,13,14,20,23,0,18,37,70,30,34,14,34,21,0,40,31,20,0,83,0,31,0,31,44,0,36,0,92,22,30,13,74,0,0,18,71,0,38
"2005-04-01",12,0,67,53,22,83,79,0,77,16,67,84,82,84,0,18,12,77,0,32,38,84,22,86,29,"0",77,78,68,93,79,73,10,40,33,32,38,39,77,64,90,68,33,85,53,0,0,69,84,23,17,0,0,68,7,0,0,49,88,51,11,54,33,40,97,0,85,20,15,3,18,0,0,16,17,42,64,24,10,0,43,14,9,21,26,66,13,0,6,37,58,88,74,0,32,0,7,0,69,37,0,29,83,0,0,1,0,16,41,42,0,73,51,0,35,0,36,27,0,0,68,0,13,39,8,0,80,14,12,70,79,69,13,81,27,78,72,0,0,61,69,90,63,0,0,91,0,0,38,90,0,77,0,10,42,0,0,16,65,40,13,23,73,8,64,27,75,12,0,18,13,14,59,30,0,25,25,17,0,9,0,15,24,10,31,26,29,9,25,40,8,24,23,39,0,21,42,53,23,35,24,34,12,0,56,52,20,0,81,66,18,32,24,44,45,12,27,94,6,50,15,75,35,0,11,66,0,62
"2005-05-01",11,0,60,23,19,85,67,0,67,7,69,88,79,84,0,14,14,69,0,14,68,81,25,88,17,"0",77,71,73,93,60,98,9,71,30,31,45,37,61,36,83,44,49,79,53,0,0,49,56,51,22,0,0,64,13,0,0,88,50,45,10,58,29,0,74,0,94,18,5,0,37,0,0,16,27,28,78,22,12,0,48,9,25,25,26,93,23,7,16,40,56,92,59,0,28,0,0,0,41,33,24,26,77,0,0,1,0,19,0,0,11,86,90,0,34,0,32,29,59,45,50,20,16,18,9,0,62,24,12,60,60,0,14,76,24,92,80,0,0,68,74,90,63,0,0,88,0,0,48,89,0,52,0,3,32,0,0,19,66,35,17,24,70,8,79,33,71,11,0,0,22,12,17,25,0,17,22,61,68,11,18,2,36,8,15,24,20,9,17,35,0,21,51,23,53,0,75,0,10,25,15,27,0,0,60,92,19,0,78,58,0,29,34,35,0,19,24,89,28,30,13,79,0,0,15,68,0,70
"2005-06-01",8,0,72,24,33,85,71,0,69,7,75,94,80,86,0,22,11,0,0,15,48,86,10,79,24,"0",81,68,73,89,82,87,13,37,31,16,35,63,76,47,93,40,20,75,18,0,0,61,65,22,22,0,0,71,7,0,0,0,85,47,15,40,31,18,73,0,79,12,11,0,28,0,0,17,24,27,62,23,14,0,46,20,17,15,30,77,73,0,14,75,64,91,74,0,0,0,7,67,59,35,25,40,72,0,0,4,0,16,0,0,0,66,0,0,19,0,34,15,31,0,35,21,18,0,10,0,42,0,12,48,51,0,15,94,25,71,60,0,73,57,84,94,83,0,0,89,0,0,64,98,0,53,0,4,40,44,0,16,87,0,12,15,61,8,80,17,88,17,0,0,23,13,18,32,28,25,47,24,0,10,0,0,11,8,25,19,21,11,23,18,7,15,22,24,0,39,0,0,0,22,27,17,11,0,0,0,20,0,83,0,16,30,22,22,0,12,0,88,23,31,0,83,0,0,17,69,0,41
"2005-07-01",10,0,54,0,26,86,72,0,70,15,67,85,72,76,0,21,8,0,0,15,59,75,26,78,24,"0",79,65,57,88,77,58,10,0,8,16,37,51,56,59,82,34,30,74,36,0,0,69,68,11,24,0,2,70,23,0,0,0,32,74,10,30,61,0,81,0,73,12,20,0,22,0,0,18,32,36,43,0,13,0,52,10,9,19,27,80,36,0,8,56,64,84,76,0,0,0,13,0,59,0,0,53,68,0,90,1,0,19,0,39,12,80,47,0,26,0,100,10,30,47,59,21,17,18,9,0,67,0,13,75,60,21,18,89,25,79,69,0,0,54,73,84,60,0,0,89,62,0,56,94,0,62,0,4,42,43,0,18,62,74,17,23,77,10,73,25,81,0,0,0,12,26,27,27,28,16,0,16,35,11,0,0,15,8,28,24,17,9,11,32,0,58,11,24,28,19,39,0,21,9,15,18,11,24,21,0,21,21,77,0,0,0,27,29,0,21,25,86,35,62,13,89,0,0,15,68,0,97
"2005-08-01",9,0,49,23,19,87,65,0,82,14,64,89,77,71,16,17,21,67,0,14,47,78,10,98,22,"0",74,74,70,100,81,100,8,34,15,12,65,49,48,53,86,61,24,82,34,0,0,56,71,20,25,0,0,57,9,0,0,0,34,63,9,19,0,0,72,0,92,12,11,0,36,0,0,20,15,32,67,0,15,0,48,9,16,17,39,53,11,20,10,50,68,88,79,0,27,0,0,0,63,49,0,50,87,0,0,2,0,12,36,0,0,87,0,0,30,0,0,24,29,0,48,19,16,0,10,0,65,24,13,52,60,20,13,99,24,76,81,0,23,70,72,86,86,0,0,91,0,0,80,95,0,61,38,6,36,0,0,15,75,0,14,12,52,13,81,16,76,21,0,15,27,0,0,27,0,16,22,15,67,11,17,8,17,10,12,21,20,13,0,9,7,14,20,22,26,0,0,0,20,14,6,18,31,0,20,0,19,20,76,57,15,28,23,26,0,17,23,100,22,29,0,85,0,0,12,68,0,38
"2005-09-01",17,0,68,21,29,82,67,0,84,0,53,93,80,67,42,15,16,0,0,0,61,85,27,71,21,"0",75,72,43,83,82,71,6,0,28,22,44,64,54,67,83,39,17,79,37,0,0,62,61,23,22,0,2,59,11,0,0,26,56,58,13,17,0,16,84,44,98,32,15,0,0,0,0,16,7,26,66,19,10,0,44,17,22,21,36,76,21,0,12,50,76,87,69,0,25,0,6,0,65,45,21,34,74,0,0,0,42,23,33,0,10,69,40,0,41,0,43,26,26,0,52,0,10,0,9,0,68,11,10,51,51,37,9,88,0,71,70,0,42,58,52,88,70,0,0,89,0,0,67,89,0,67,0,8,33,38,40,16,61,32,11,16,73,10,74,22,76,10,0,14,10,22,31,30,24,22,30,14,41,13,0,5,16,5,27,25,12,8,10,55,12,31,23,52,60,17,100,42,27,31,9,30,19,0,36,27,20,37,85,0,14,26,40,34,36,18,0,90,20,40,12,72,0,0,17,50,0,70
